"Strain","Temperature","Rate","Host","Round"
392263,"15",0.75,"Robusta","A"
392263,"15",0.65625,"Robusta","A"
392263,"15",0.45,"Robusta","A"
392263,"20",0.818181818,"Robusta","A"
392263,"20",0.742857143,"Robusta","A"
392263,"20",0.72972973,"Robusta","A"
392263,"25",0.727272727,"Robusta","A"
392263,"25",0.737704918,"Robusta","A"
392263,"25",0.769230769,"Robusta","A"
392263,"30",0,"Robusta","A"
392263,"30",0.2,"Robusta","A"
392263,"30",0.222222222,"Robusta","A"
392263,"40",0,"Robusta","A"
392263,"40",0.125,"Robusta","A"
392263,"40",0,"Robusta","A"
392278,"15",0.25,"Robusta","A"
392278,"15",0.454545455,"Robusta","A"
392278,"15",0.444444444,"Robusta","A"
392278,"20",0.65,"Robusta","A"
392278,"20",0.75,"Robusta","A"
392278,"20",0.657142857,"Robusta","A"
392278,"25",0.592592593,"Robusta","A"
392278,"25",0.558823529,"Robusta","A"
392278,"25",0.568181818,"Robusta","A"
392278,"30",0.285714286,"Robusta","A"
392278,"30",0.4,"Robusta","A"
392278,"30",0.333333333,"Robusta","A"
392278,"40",0.111111111,"Robusta","A"
392278,"40",0.076923077,"Robusta","A"
392278,"40",0.1,"Robusta","A"
389563,"15",0.8,"Arabica","A"
389563,"15",0.928571429,"Arabica","A"
389563,"15",0.862068966,"Arabica","A"
389563,"20",0.8,"Arabica","A"
389563,"20",0.875,"Arabica","A"
389563,"20",0.864864865,"Arabica","A"
389563,"25",0.75,"Arabica","A"
389563,"25",0.882352941,"Arabica","A"
389563,"25",0.848484848,"Arabica","A"
389563,"30",0,"Arabica","A"
389563,"30",0,"Arabica","A"
389563,"30",0.2,"Arabica","A"
389563,"40",0,"Arabica","A"
389563,"40",0,"Arabica","A"
389563,"40",0.142857143,"Arabica","A"
393593,"15",0.461538462,"Arabica","A"
393593,"15",0.62962963,"Arabica","A"
393593,"15",0.461538462,"Arabica","A"
393593,"20",0.904761905,"Arabica","A"
393593,"20",0.816326531,"Arabica","A"
393593,"20",0.848484848,"Arabica","A"
393593,"25",0.756097561,"Arabica","A"
393593,"25",0.852941176,"Arabica","A"
393593,"25",0.877192982,"Arabica","A"
393593,"30",0.6,"Arabica","A"
393593,"30",0.5,"Arabica","A"
393593,"30",0.4,"Arabica","A"
393593,"40",0,"Arabica","A"
393593,"40",0,"Arabica","A"
393593,"40",0,"Arabica","A"
393593,"10",0.940298507,"Arabica","B"
393593,"10",0.857142857,"Arabica","B"
393593,"10",0.862068966,"Arabica","B"
393593,"15",0.658536585,"Arabica","B"
393593,"15",0.754385965,"Arabica","B"
393593,"15",0.826086957,"Arabica","B"
393593,"20",0.848484848,"Arabica","B"
393593,"20",0.906976744,"Arabica","B"
393593,"20",0.9,"Arabica","B"
393593,"25",0.878378378,"Arabica","B"
393593,"25",0.894736842,"Arabica","B"
393593,"25",0.957746479,"Arabica","B"
393593,"30",0.851851852,"Arabica","B"
393593,"30",0.857142857,"Arabica","B"
393593,"30",0.827586207,"Arabica","B"
393593,"35",0.810810811,"Arabica","B"
393593,"35",0.888888889,"Arabica","B"
393593,"35",0.764705882,"Arabica","B"
389563,"10",0.911764706,"Arabica","B"
389563,"10",0.857142857,"Arabica","B"
389563,"10",0.93442623,"Arabica","B"
389563,"15",0.927272727,"Arabica","B"
389563,"15",0.868421053,"Arabica","B"
389563,"15",0.923076923,"Arabica","B"
389563,"20",0.794117647,"Arabica","B"
389563,"20",0.953488372,"Arabica","B"
389563,"20",0.837837838,"Arabica","B"
389563,"25",0.795918367,"Arabica","B"
389563,"25",0.886363636,"Arabica","B"
389563,"25",0.902439024,"Arabica","B"
389563,"30",0.821428571,"Arabica","B"
389563,"30",0.782608696,"Arabica","B"
389563,"30",0.769230769,"Arabica","B"
389563,"35",0.838709677,"Arabica","B"
389563,"35",0.8,"Arabica","B"
389563,"35",0.75,"Arabica","B"
392278,"10",0,"Robusta","B"
392278,"10",0.133333333,"Robusta","B"
392278,"10",0.071428571,"Robusta","B"
392278,"15",0.181818182,"Robusta","B"
392278,"15",0.230769231,"Robusta","B"
392278,"15",0.071428571,"Robusta","B"
392278,"20",0.895833333,"Robusta","B"
392278,"20",0.866666667,"Robusta","B"
392278,"20",0.941176471,"Robusta","B"
392278,"25",0.91025641,"Robusta","B"
392278,"25",0.93220339,"Robusta","B"
392278,"25",0.918918919,"Robusta","B"
392278,"30",0.951219512,"Robusta","B"
392278,"30",0.868852459,"Robusta","B"
392278,"30",0.88,"Robusta","B"
392278,"35",0.714285714,"Robusta","B"
392278,"35",0.88,"Robusta","B"
392278,"35",0.703703704,"Robusta","B"
392263,"10",0.787878788,"Robusta","B"
392263,"10",0.810810811,"Robusta","B"
392263,"10",0.767857143,"Robusta","B"
392263,"15",0.804878049,"Robusta","B"
392263,"15",0.807692308,"Robusta","B"
392263,"15",0.857142857,"Robusta","B"
392263,"20",0.927272727,"Robusta","B"
392263,"20",0.894736842,"Robusta","B"
392263,"20",0.911764706,"Robusta","B"
392263,"25",0.925,"Robusta","B"
392263,"25",0.923076923,"Robusta","B"
392263,"25",0.96,"Robusta","B"
392263,"30",0.918918919,"Robusta","B"
392263,"30",0.84375,"Robusta","B"
392263,"30",0.944444444,"Robusta","B"
392263,"35",0.704545455,"Robusta","B"
392263,"35",0.825396825,"Robusta","B"
392263,"35",0.82278481,"Robusta","B"
